fip_code,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown
23005,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-04-02,2020-03-16,2020-03-25,2020-03-25,2020-04-01,2020-03-18,
23031,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-04-02,2020-03-18,2020-03-25,2020-03-25,2020-04-02,2020-03-18,
24003,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24005,2020-03-12,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24013,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,2020-04-06,2020-03-30,2020-03-19,
24017,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24021,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24027,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-15,2020-03-23,,2020-03-30,2020-03-19,
24031,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24033,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24510,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
25001,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25003,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-16,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25005,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25009,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25011,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25013,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-16,2020-03-23,2020-03-24,2020-03-13,,,
25015,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25017,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25021,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-16,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25023,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-16,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25025,2020-03-17,2020-03-17,2020-03-24,2020-03-24,2020-03-16,,,,2020-03-24,,
25027,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-13,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
26049,2020-03-13,2020-03-16,,,2020-03-16,2020-03-16,2020-03-22,2020-03-16,2020-03-23,,
26065,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26075,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26081,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26093,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26099,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26115,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26125,,,,,2020-03-16,,2020-03-22,2020-03-23,2020-03-23,2020-03-23,
26145,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26147,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26161,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26163,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
27053,,,,,2020-03-18,2020-03-26,2020-03-26,2020-03-26,2020-03-27,,
27109,,,,,2020-03-18,2020-03-27,2020-03-27,2020-03-27,2020-03-27,,
27123,,,,,2020-03-18,2020-03-27,2020-03-27,2020-03-27,2020-03-27,,
28033,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-16,2020-03-20,2020-03-16,2020-03-22,2020-03-22,,
28049,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-20,2020-03-16,2020-03-31,2020-03-31,,
28059,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-20,2020-03-16,2020-03-31,2020-03-31,,
29095,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-24,2020-03-23,2020-03-24,2020-03-24,
29183,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-04-06,2020-03-23,2020-04-06,,
29189,2020-03-13,2020-03-15,2020-03-19,2020-03-19,2020-03-18,2020-03-23,2020-03-23,2020-03-13,2020-03-23,2020-03-21,
29510,2020-03-13,2020-03-16,2020-03-20,2020-03-20,2020-03-18,2020-03-19,2020-03-23,2020-03-20,2020-03-23,2020-03-20,
30031,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-15,2020-03-16,2020-03-26,2020-03-26,2020-03-26,2020-03-26,
31055,2020-03-16,2020-03-16,2020-03-18,2020-03-18,2020-03-16,2020-03-16,2020-04-03,2020-03-18,,2020-04-03,
32003,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-20,2020-03-20,2020-03-20,2020-03-31,2020-03-24,
32031,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-20,2020-03-20,2020-03-20,2020-03-31,2020-03-24,
33011,2020-03-16,2020-03-16,2020-03-23,2020-03-23,2020-03-16,2020-03-16,2020-03-20,2020-04-13,2020-03-27,2020-04-13,
33015,2020-03-16,2020-03-16,2020-03-23,2020-03-23,2020-03-16,2020-03-16,2020-03-20,2020-04-13,2020-03-27,2020-04-13,
34001,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34003,2020-03-12,2020-03-18,,,2020-03-18,2020-03-17,2020-03-17,2020-03-10,2020-03-21,2020-03-25,
34005,2020-03-12,2020-03-18,,,2020-03-16,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34007,2020-03-12,2020-03-18,,,2020-03-18,2020-03-16,2020-03-14,2020-03-21,2020-03-21,2020-03-25,
34013,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34015,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34017,2020-03-12,2020-03-18,,,2020-03-16,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34019,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34021,2020-03-12,2020-03-18,,,2020-03-16,2020-03-18,2020-03-20,2020-03-21,2020-03-21,2020-03-25,
34023,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34025,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34027,2020-03-12,2020-03-18,,,2020-03-18,2020-03-19,2020-03-17,2020-03-19,2020-03-21,2020-03-25,
34029,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-16,2020-03-16,2020-03-21,2020-03-25,
34031,2020-03-12,2020-03-18,,,2020-03-13,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34035,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34037,2020-03-12,2020-03-18,,,2020-03-18,2020-03-21,2020-03-16,2020-03-21,2020-03-21,2020-03-25,
34039,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34041,2020-03-12,2020-03-18,,,2020-03-16,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
35001,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-19,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
35043,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-19,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
35045,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-19,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
36001,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-18,2020-03-17,2020-03-17,2020-03-22,,,
36027,2020-03-12,2020-03-18,2020-03-18,2020-03-22,2020-03-16,2020-03-22,2020-03-22,2020-03-22,,,
36029,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-18,2020-03-22,2020-03-22,2020-03-22,,,
36053,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-18,2020-03-22,2020-03-22,2020-03-22,,,
36055,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-18,2020-03-22,2020-03-22,2020-03-22,,,
36059,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-16,2020-03-22,2020-03-22,2020-03-22,,2020-03-20,
36061,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-16,2020-03-16,2020-03-22,2020-03-22,2020-03-22,2020-03-27,
36063,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-16,2020-03-22,2020-03-22,2020-03-22,,,
36065,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-16,2020-03-22,2020-03-22,2020-03-22,,,
36067,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-18,2020-03-18,2020-03-22,2020-03-22,,,
36071,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-18,2020-03-22,2020-03-22,2020-03-22,,,
36079,2020-03-12,2020-03-15,2020-03-22,2020-03-22,2020-03-16,2020-03-22,2020-03-22,2020-03-22,,,
36087,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-17,2020-03-22,2020-03-22,2020-03-22,,2020-04-03,
36091,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-18,2020-03-22,2020-03-22,2020-03-22,,,
36093,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-18,2020-03-22,2020-03-16,2020-03-22,,,
36103,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-16,2020-03-22,2020-03-22,2020-03-22,,,
36105,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-15,2020-03-22,2020-03-22,2020-03-22,,,
36109,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-16,2020-03-22,2020-03-22,2020-03-22,,,
36111,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-16,2020-03-22,2020-03-22,2020-03-22,,,
36119,2020-03-12,2020-03-22,2020-03-22,2020-03-22,2020-03-18,2020-03-22,2020-03-22,2020-03-22,,,
37063,2020-03-14,2020-03-14,2020-03-28,2020-03-28,2020-03-16,2020-03-17,2020-03-28,2020-03-14,2020-03-28,2020-03-28,
37067,2020-03-14,2020-03-14,2020-03-27,2020-03-27,2020-03-16,2020-03-17,2020-03-27,2020-03-14,2020-03-27,2020-03-27,
37081,2020-03-14,2020-03-14,2020-03-25,2020-03-25,2020-03-16,2020-03-17,2020-03-25,2020-03-14,2020-03-30,2020-03-25,
37119,2020-03-14,2020-03-14,2020-03-24,2020-03-24,2020-03-16,2020-03-17,2020-03-24,2020-03-14,2020-03-24,2020-03-24,
37183,2020-03-22,2020-03-22,2020-03-27,2020-03-27,2020-03-17,2020-03-17,2020-03-27,,2020-03-27,,
39035,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39049,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39061,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39093,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39095,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39099,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39113,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39133,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39151,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39153,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
39155,2020-03-12,2020-03-12,,,2020-03-17,2020-03-15,2020-03-19,2020-03-23,2020-03-23,,
40027,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-17,2020-03-25,2020-03-25,,2020-03-25,,
40109,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-17,2020-03-25,,,,,
40143,2020-03-14,2020-03-25,2020-03-25,2020-03-25,2020-03-16,2020-03-17,2020-03-25,,2020-03-28,,
41005,2020-03-12,2020-03-17,2020-03-17,2020-03-23,2020-03-16,2020-03-17,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
41047,2020-03-12,2020-03-16,2020-03-16,2020-03-23,2020-03-12,2020-03-17,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
41051,2020-03-12,2020-03-17,2020-03-17,2020-03-23,2020-03-16,2020-03-17,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
41067,2020-03-12,2020-03-17,2020-03-17,2020-03-23,2020-03-16,2020-03-17,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
42003,2020-03-13,2020-03-15,2020-03-16,2020-03-23,2020-03-16,2020-03-16,2020-03-21,2020-03-11,2020-03-23,2020-04-01,
42007,,,,,2020-03-16,2020-03-19,2020-03-21,2020-03-28,2020-03-28,2020-03-28,
42011,,,,,2020-03-16,2020-03-19,2020-03-21,,2020-03-31,2020-04-01,
42017,,,,,2020-03-15,2020-03-15,2020-03-15,2020-03-11,2020-03-23,2020-04-01,
42019,,,,,2020-03-16,2020-03-19,2020-03-21,2020-03-27,2020-03-27,2020-03-27,
42029,,,,,2020-03-16,2020-03-19,2020-03-21,,2020-03-23,2020-04-01,
42043,,,,,2020-03-16,2020-03-19,2020-03-21,,2020-03-30,2020-04-01,
42045,2020-03-15,,,,2020-03-14,2020-03-16,2020-03-21,2020-03-16,2020-03-23,2020-04-01,
42069,,,,,2020-03-16,2020-03-19,2020-03-21,,2020-03-31,2020-04-01,
42071,,,,,2020-03-16,2020-03-19,2020-03-21,,2020-03-31,2020-04-01,
42075,,,,,2020-03-16,2020-03-19,2020-03-21,,2020-03-31,2020-04-01,
42077,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-16,2020-03-16,2020-03-16,2020-03-25,2020-03-25,2020-04-01,
42079,,,,,2020-03-16,2020-03-17,2020-03-21,,2020-03-31,2020-04-01,
42089,,,,,2020-03-16,2020-03-19,2020-03-21,,2020-03-31,2020-04-01,
42091,2020-03-13,,,,2020-03-13,2020-03-13,2020-03-13,2020-03-23,2020-03-23,2020-04-01,
42095,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-16,2020-03-19,2020-03-21,2020-03-25,2020-03-25,2020-04-01,
42101,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-16,2020-03-19,2020-03-21,2020-03-23,2020-03-23,2020-03-23,
42103,,,,,2020-03-16,2020-03-19,2020-03-21,2020-03-27,2020-03-31,2020-04-01,
42107,,,,,2020-03-16,2020-03-19,2020-03-21,2020-03-30,2020-03-30,2020-03-30,
42129,,,,,2020-03-16,2020-03-19,2020-03-21,,2020-03-31,2020-04-01,
42133,,,,,2020-03-16,2020-03-19,2020-03-21,,2020-03-31,2020-04-01,
44007,2020-03-17,2020-03-17,2020-03-17,2020-03-23,2020-03-16,2020-03-17,2020-03-30,,2020-03-28,2020-03-28,
45013,2020-03-17,2020-03-17,2020-03-23,2020-03-23,2020-03-16,2020-03-18,2020-03-31,2020-03-21,2020-04-07,,
45019,2020-03-17,2020-03-17,2020-03-23,2020-03-23,2020-03-16,2020-03-18,2020-03-25,2020-03-21,2020-03-25,,
45045,2020-03-17,2020-03-17,2020-03-23,2020-03-23,2020-03-16,2020-03-18,2020-03-31,2020-03-21,2020-04-07,,
45055,2020-03-17,2020-03-17,2020-03-23,2020-03-23,2020-03-16,2020-03-18,2020-03-24,2020-03-21,2020-04-07,,
45063,2020-03-17,2020-03-17,2020-03-23,2020-03-23,2020-03-16,2020-03-18,2020-03-31,2020-03-21,2020-04-07,,
45079,2020-03-17,2020-03-17,2020-03-23,2020-03-23,2020-03-16,2020-03-18,2020-03-31,2020-03-21,2020-04-07,,
45091,2020-03-17,2020-03-17,2020-03-23,2020-03-23,2020-03-16,2020-03-18,2020-03-31,2020-03-21,2020-04-07,,
46099,2020-04-06,2020-04-06,2020-04-06,2020-04-06,,2020-04-01,2020-03-19,2020-03-23,,,
47037,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-12,2020-03-20,2020-03-23,,2020-04-02,2020-03-23,
47093,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-16,2020-03-20,2020-03-20,2020-03-20,2020-04-01,2020-03-23,
47149,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-04-02,2020-03-23,
47157,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-13,2020-03-23,2020-03-23,2020-03-25,2020-03-25,2020-03-23,
47165,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
47187,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-16,2020-03-23,2020-03-23,,2020-04-02,2020-03-23,
47189,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-16,2020-03-23,2020-03-23,,2020-04-02,2020-03-23,
48029,2020-03-13,2020-03-18,2020-03-19,2020-03-19,2020-03-13,2020-03-20,2020-03-23,2020-03-18,2020-03-24,2020-03-23,
48039,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-26,2020-03-20,2020-03-26,2020-03-26,
48041,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-24,2020-03-20,2020-03-24,2020-03-24,
48085,2020-03-18,2020-03-16,2020-03-20,2020-03-20,2020-03-16,2020-03-20,2020-04-02,2020-03-20,2020-03-24,,
48113,2020-03-13,2020-03-16,2020-03-18,2020-03-18,2020-03-16,2020-03-16,2020-03-21,2020-03-16,2020-03-24,2020-03-24,
48121,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-04-02,2020-03-20,,,
48141,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-24,2020-03-20,2020-03-24,,
48157,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-16,2020-03-18,2020-03-21,2020-03-20,2020-03-25,2020-03-25,
48167,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-16,2020-03-20,2020-03-24,2020-03-20,2020-03-24,2020-03-24,
48201,2020-03-20,2020-03-20,2020-03-19,2020-03-19,2020-03-20,2020-03-20,2020-03-24,2020-03-16,2020-03-24,2020-03-24,
48215,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-22,2020-03-20,2020-03-26,2020-03-22,
48303,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-04-02,2020-03-20,2020-04-02,,
48339,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-18,2020-03-27,2020-03-20,2020-03-27,2020-03-27,
48439,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-16,2020-03-20,2020-03-24,2020-03-13,2020-03-24,2020-03-24,
48453,2020-03-14,2020-03-20,2020-03-20,2020-03-20,2020-03-13,2020-03-20,2020-03-24,2020-03-20,,2020-03-24,
48479,2020-03-16,2020-03-16,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-27,2020-03-16,2020-03-27,2020-03-23,
49011,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-13,2020-03-18,2020-04-01,2020-03-18,2020-03-27,,
49035,2020-03-16,2020-03-16,2020-03-18,2020-03-18,2020-03-16,2020-03-16,2020-03-29,2020-03-16,2020-03-27,2020-03-29,
49043,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-16,2020-03-18,2020-03-25,2020-03-20,2020-03-25,2020-03-25,
49049,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-16,2020-03-18,,2020-03-18,2020-03-27,,
50007,2020-03-13,2020-03-16,2020-03-21,2020-03-21,2020-03-18,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-24,
51013,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-13,2020-03-24,2020-03-24,2020-03-24,2020-03-30,2020-03-24,
51041,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-13,2020-03-24,2020-03-24,2020-03-24,2020-03-30,2020-03-24,
51059,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-13,2020-03-24,2020-03-24,2020-03-24,2020-03-30,2020-03-18,
51087,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-13,2020-03-24,2020-03-24,,,2020-03-24,
51095,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-13,2020-03-24,2020-03-24,2020-03-24,2020-03-30,2020-03-24,
51107,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-12,2020-03-24,2020-03-24,2020-03-24,2020-03-30,2020-03-24,
51153,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-13,2020-03-24,2020-03-24,2020-03-24,2020-03-30,2020-03-24,
51760,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-13,2020-03-24,2020-03-24,2020-03-24,2020-03-30,2020-03-24,
51810,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-13,2020-03-24,2020-03-24,2020-03-24,2020-03-30,2020-03-24,
53005,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
53011,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,,2020-03-23,2020-03-23,
53029,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-04-07,2020-03-23,2020-03-23,
53033,2020-03-11,2020-03-16,,,2020-03-12,2020-03-16,2020-03-16,2020-03-11,2020-03-23,2020-03-16,
53035,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,,2020-03-23,2020-03-23,
53053,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,,2020-03-23,2020-03-23,
53057,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,,2020-03-23,2020-03-23,
53061,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-24,2020-03-23,2020-03-23,
53063,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-20,2020-03-23,2020-03-23,
53073,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,,2020-03-23,2020-03-23,
53077,2020-03-11,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
55025,2020-03-14,2020-03-17,2020-03-17,2020-03-17,2020-03-18,2020-03-17,2020-03-25,2020-03-17,2020-03-25,2020-03-14,
55059,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-18,2020-03-17,2020-03-25,2020-03-17,2020-03-25,2020-03-17,
55079,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-18,2020-03-17,2020-03-20,2020-03-17,2020-03-20,2020-03-17,
55133,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-16,2020-03-17,2020-03-25,2020-03-17,2020-03-25,2020-03-17,
